p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality,work_rate,position,age,cumulative_minutes_played,cumulative_games_played,minutes_per_game_prev_seasons,avg_days_injured_prev_seasons,avg_games_per_season_prev_seasons,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season,player_name,market_value_eur,market_value_text
aaronconnolly,2019,13,161,1312,24,28,2148,41,28-01-2000,175.3333333,75.66666667,Republic of Ireland,Medium/Low,Forward,19,0.0,0.0,0.0,0.0,0.0,24.61362749,2.5,2.0,0.0,0.0,0.0,Aaron Connolly,2200000,€2.20m
aaronconnolly,2020,71,161,836,17,28,2148,41,28-01-2000,175.3333333,75.66666667,Republic of Ireland,Medium/Low,Forward,20,1312.0,24.0,54.66666667,13.0,24.0,24.61362749,2.5,2.0,0.0,161.0,13.0,Aaron Connolly,2200000,€2.20m
aaroncresswell,2016,95,226,2247,26,27,13368,149,15-12-1989,171.6666667,66.0,England,High/Medium,Defender,27,0.0,0.0,0.0,0.0,0.0,22.3960788,3.5,1.0,0.0,0.0,0.0,Aaron Cresswell,450000,€450k
aaroncresswell,2018,87,226,1680,20,27,13368,149,15-12-1989,171.6666667,66.0,England,High/Medium,Defender,29,2247.0,26.0,86.42307692,95.0,26.0,22.3960788,3.5,1.0,0.0,226.0,95.0,Aaron Cresswell,450000,€450k
aaroncresswell,2019,35,226,2870,31,31,13368,149,15-12-1989,171.6666667,66.0,England,High/Medium,Defender,30,3927.0,46.0,85.36956522,91.0,23.0,22.3960788,3.5,1.0,0.0,452.0,87.0,Aaron Cresswell,450000,€450k
aaroncresswell,2020,9,226,3342,36,36,13368,149,15-12-1989,171.6666667,66.0,England,High/Medium,Defender,31,6797.0,77.0,88.27272727,72.33333333,25.66666667,22.3960788,3.5,1.0,0.0,678.0,35.0,Aaron Cresswell,450000,€450k
aaronramsdale,2019,11,11,3515,37,37,7125,75,14-05-1998,188.0,77.0,England,Medium/Medium,Goalkeeper,21,0.0,0.0,0.0,0.0,0.0,21.78587596,3.0,0.0,0.0,0.0,0.0,Aaron Ramsdale,12000000,€12.00m
aaronramsey,2016,122,436,1329,23,24,4692,75,26-12-1990,181.0,74.0,Wales,High/High,Midfielder,26,0.0,0.0,0.0,0.0,0.0,22.58783309,4.0,3.0,0.0,0.0,0.0,Aaron Ramsey,500000,€500k
aaronramsey,2016,122,436,1329,23,24,4692,75,26-12-1990,181.0,74.0,Wales,High/High,Midfielder,26,1329.0,23.0,57.7826087,122.0,23.0,22.58783309,4.0,3.0,1.0,436.0,122.0,Aaron Ramsey,500000,€500k
aaronramsey,2017,44,436,1945,24,24,4692,75,26-12-1990,181.0,74.0,Wales,High/High,Midfielder,27,2658.0,46.0,57.7826087,122.0,23.0,22.58783309,4.0,3.0,1.0,872.0,122.0,Aaron Ramsey,500000,€500k
aaronramsey,2017,44,436,1945,24,24,4692,75,26-12-1990,181.0,74.0,Wales,High/High,Midfielder,27,4603.0,70.0,65.75714286,96.0,23.33333333,22.58783309,4.0,3.0,0.0,1308.0,44.0,Aaron Ramsey,500000,€500k
aaronramsey,2018,157,436,1418,28,31,4692,75,26-12-1990,181.0,74.0,Wales,High/High,Midfielder,28,6548.0,94.0,69.65957447,83.0,23.5,22.58783309,4.0,3.0,0.0,1744.0,44.0,Aaron Ramsey,500000,€500k
aaronramsey,2018,157,436,1418,28,31,4692,75,26-12-1990,181.0,74.0,Wales,High/High,Midfielder,28,7966.0,122.0,65.29508197,97.8,24.4,22.58783309,4.0,3.0,1.0,2180.0,157.0,Aaron Ramsey,500000,€500k
abdelhamidsabiri,2018,95,178,48,2,2,282,7,28-11-1996,186.0,80.0,Germany,Medium/Medium,Midfielder,22,0.0,0.0,0.0,0.0,0.0,23.12406059,3.0,3.0,0.0,0.0,0.0,Abdelhamid Sabiri,1500000,€1.50m
adamidah,2019,28,194,273,12,17,273,12,11-02-2001,190.0,83.0,Republic of Ireland,High/Medium,Forward,18,0.0,0.0,0.0,0.0,0.0,22.99168975,3.5,2.0,0.0,0.0,0.0,Adam Idah,7000000,€7.00m
adamsmith,2017,49,270,2194,27,28,9828,112,29-04-1991,180.0,79.0,England,High/Medium,Defender,26,0.0,0.0,0.0,0.0,0.0,24.38271605,3.5,1.0,0.0,0.0,0.0,Adam Smith,500000,€500k
adamsmith,2017,49,270,2194,27,28,9828,112,29-04-1991,180.0,79.0,England,High/Medium,Goalkeeper,26,2194.0,27.0,81.25925926,49.0,27.0,24.38271605,3.5,0.0,0.0,270.0,49.0,Adam Smith,500000,€500k
adamsmith,2017,49,270,2194,27,28,9828,112,23-11-1992,186.4,70.0,England,Medium/Medium,Defender,25,4388.0,54.0,81.25925926,49.0,27.0,20.1468069,3.0,1.0,0.0,540.0,49.0,Adam Smith,500000,€500k
adamsmith,2017,49,270,2194,27,28,9828,112,23-11-1992,186.4,70.0,England,Medium/Medium,Goalkeeper,25,6582.0,81.0,81.25925926,49.0,27.0,20.1468069,3.0,0.0,0.0,810.0,49.0,Adam Smith,500000,€500k
adamsmith,2018,107,270,2200,25,25,9828,112,29-04-1991,180.0,79.0,England,High/Medium,Defender,27,8776.0,108.0,81.25925926,49.0,27.0,24.38271605,3.5,1.0,0.0,1080.0,49.0,Adam Smith,500000,€500k
adamsmith,2018,107,270,2200,25,25,9828,112,29-04-1991,180.0,79.0,England,High/Medium,Goalkeeper,27,10976.0,133.0,82.52631579,60.6,26.6,24.38271605,3.5,0.0,0.0,1350.0,107.0,Adam Smith,500000,€500k
adamsmith,2018,107,270,2200,25,25,9828,112,23-11-1992,186.4,70.0,England,Medium/Medium,Defender,26,13176.0,158.0,83.39240506,68.33333333,26.33333333,20.1468069,3.0,1.0,0.0,1620.0,107.0,Adam Smith,500000,€500k
adamsmith,2018,107,270,2200,25,25,9828,112,23-11-1992,186.4,70.0,England,Medium/Medium,Goalkeeper,26,15376.0,183.0,84.02185792,73.85714286,26.14285714,20.1468069,3.0,0.0,0.0,1890.0,107.0,Adam Smith,500000,€500k
