player_id,player_name,nationality,position,club,age,date_of_birth,foot,contract_expiration_date,contract_years_remaining,total_appearances,total_minutes_played,total_goals,total_assists,total_shots,total_shots_on_target,shot_accuracy,total_successful_dribbles,total_key_passes,avg_rating,career_span_years,total_yellow_cards,total_red_cards,games_per_season_avg,minutes_per_game_avg,passing_accuracy,total_tackles,total_interceptions,total_clearances,total_clean_sheets,total_saves,save_percentage,total_goals_conceded,total_injuries,total_days_out,avg_injury_duration,max_injury_duration,min_injury_duration,injury_types_list,most_recent_injury_date,days_since_last_injury,injury_frequency,had_knee_injury,had_hamstring_injury,had_acl_injury,had_surgery,injury_severity_score,games_missed_due_injury,currently_injured,sentiment_score,mentions_count,positive_ratio,negative_ratio,neutral_ratio,engagement_rate,fan_base_size,trending_score,controversy_flag,media_coverage_score,hashtag_mentions,retweet_avg,like_avg,market_value,peak_value,transfer_history_total,number_of_transfers,value_trend,goals_per_game,assists_per_game,goal_contribution,goal_contribution_per_game,minutes_per_goal,minutes_per_assist,discipline_score,experience_score,injury_risk_score,availability_score,recovery_rate,estimated_contract_value,is_at_peak,career_stage,value_appreciation_potential,sentiment_momentum,popularity_index,public_perception_score,controversy_impact,player_quality_score,market_attractiveness,value_for_money,age_group
PL0001,Lionel Messi,Argentina,RW,Inter Miami,37,23-11-1989,Right,15-01-2030,4,355,38833,108,79,996,394,44.9,451,691,7.66,10,21,6,35.5,109.4,85.12,602,772.5,1165.5,93,802,72.1,237,9,937,104.1,165,29,"Shoulder Injury, Calf Injury, Fracture, Concussion, Ligament Damage, Ankle Injury",25-05-2024,601,0.9,0,0,0,1,2.57,139,0,0.557,21575,0.574,0.263,0.163,7.17,340337,7.4,0,7.34,7141,2907,5972,15.91,21.9,6.62,1,Declining,0.304225352,0.222535211,187,0.526760563,356.266055,485.4125,1.9,17.1,4.37,60.84507042,10.41,65.75087759,0,Veteran,0,0.041218,39.85437784,0.6158,0,47.46061408,94.77187381,280.6659615,34+
PL0002,Cristiano Ronaldo,Portugal,ST,Al Nassr,39,11-06-1987,Right,15-01-2031,5,420,24577,156,105,1027,366,44.93,754,528,7.68,10,20,4,42,58.5,85.12,602,772.5,1165.5,93,802,72.1,237,21,2097,99.9,171,28,"Back Injury, Shoulder Injury, Hamstring Injury, Calf Injury, Groin Strain, Concussion, Ankle Injury, Muscle Injury, ACL Injury, Hip Injury",24-10-2023,815,2.1,0,1,1,1,5.75,356,0,0.557,8628,0.405,0.339,0.255,3.55,129060,43.5,0,5.82,7297,1812,5018,13.37,14.78,45.85,6,Declining,0.371428571,0.25,261,0.621428571,156.5414013,231.8584906,4,18.4,10,15.23809524,4.540909091,69.0673502,0,Veteran,0,0.242295,17.92049348,0.5347,0,38.51701905,46.13924975,268.0377108,34+
PL0003,Kevin De Bruyne,Belgium,CAM,Manchester City,33,25-12-1993,Both,16-01-2028,2,374,39500,22,39,863,501,46.22,594,498,7.03,10,10,8,37.4,105.6,83.83,604,772.5,1165.5,93,802,72.1,237,11,906,82.4,143,18,"Back Injury, Meniscus Tear, Shoulder Injury, Hamstring Injury, Achilles Injury, Fracture, Calf Injury, Ligament Damage",16-06-2023,945,1.1,0,1,0,1,2.48,188,0,0.159,18518,0.223,0.508,0.27,3.53,360433,23.4,1,9.71,5313,3109,5612,23.3,30.91,31.89,3,Declining,0.058823529,0.104278075,61,0.163101604,1717.391304,987.5,1,17.48,4.68,49.73262032,6.866666667,48.14567718,0,Veteran,0,0.037206,5.515349128,0.326,9.407144,42.21452406,40.02028572,173.7223213,30-33
PL0004,Luka Modrić,Croatia,CM,Real Madrid,39,13-07-1987,Right,15-01-2030,4,400,34127,29,34,863,501,46.22,470,600,7.79,10,52,2,40,85.3,89.26,394,772.5,1165.5,93,802,72.1,237,13,1071,82.4,176,27,"Back Injury, Meniscus Tear, Knee Injury, Shoulder Injury, Hamstring Injury, Achilles Injury, Groin Strain, Ligament Damage, Ankle Injury",23-10-2023,816,1.3,1,1,0,1,2.93,260,0,0.403,55029,0.327,0.365,0.307,7.94,341615,99,0,3.18,1859,3431,11738,17.25,21.11,32.58,4,Declining,0.0725,0.085,63,0.1575,1137.566667,975.0571429,2.8,18,5.53,35,5.885714286,71.28866363,0,Veteran,0,0.39897,34.92806325,0.4181,0,42.5962,82.63019488,233.4038356,34+
PL0005,Robert Lewandowski,Poland,ST,Barcelona,36,18-09-1990,Right,16-01-2027,1,367,25395,68,139,1120,305,41.66,877,446,6.76,10,70,4,36.7,69.2,85.12,602,772.5,1165.5,93,802,72.1,237,16,1854,115.9,179,21,"Meniscus Tear, Hamstring Injury, Achilles Injury, Fracture, Calf Injury, Knee Injury, Muscle Injury, ACL Injury, Hip Injury",12-08-2025,157,1.6,1,1,1,1,5.08,373,0,0.08,22079,0.104,0.469,0.427,8.2,251752,81.2,1,7.38,2646,3479,10298,11.16,15.44,13.43,2,Declining,0.185286104,0.378746594,207,0.564032698,368.0434783,181.3928571,-1,17.34,10,0,6.817647059,11.53016647,0,Veteran,0,0.06496,6.56159244,0.2432,10.355051,30.9944,25.33958866,254.8881579,34+
PL0006,Kylian Mbappé,France,ST,Real Madrid,26,21-10-2000,Right,15-01-2030,4,445,39619,209,28,1423,651,52.06,236,563,7.5,8,74,4,55.6,89,85.12,602,772.5,1165.5,93,802,72.1,237,15,1143,76.2,168,12,"Back Injury, Meniscus Tear, Shoulder Injury, Calf Injury, Fracture, Concussion, Ankle Injury, Muscle Injury",01-12-2025,46,1.5,0,0,0,1,3.13,254,0,0.323,49488,0.236,0.39,0.374,4.03,436986,42.6,0,2.03,8293,4765,16723,110.83,150.26,199.35,5,Stable,0.469662921,0.062921348,237,0.53258427,188.6619048,1366.172414,-1.4,16.9,6.13,42.92134831,4.7625,458.024498,1,Prime,0,0.137598,14.07062548,0.3423,0,42.64886966,50.17037305,38.13723479,26-29
PL0007,Erling Haaland,Norway,ST,Manchester City,24,12-05-2002,Left,15-01-2031,5,285,24956,239,68,579,703,46.47,381,570,7.36,6,66,2,47.5,87.6,85.12,602,772.5,1165.5,93,802,72.1,237,8,801,100.1,180,34,"Groin Strain, Ankle Injury, Muscle Injury, ACL Injury, Hip Injury",30-07-2025,170,0.8,0,0,1,1,2.19,188,0,0.267,40881,0.244,0.499,0.257,9.88,733547,10.6,1,3.88,4232,2346,5841,102.3,130.9,91.92,2,Rising,0.838596491,0.238596491,307,1.077192982,103.9833333,361.6811594,1.4,11.7,5.79,34.03508772,11.12222222,528.465963,0,Prime,27.95698925,0.028302,28.01103356,0.319,20.399619,39.22501754,70.04905911,37.97194341,22-25
PL0008,Neymar Jr,Brazil,LW,Al Hilal,32,05-06-1994,Right,16-01-2027,1,459,17377,170,132,1472,501,40.18,652,543,7.08,10,29,7,45.9,37.9,85.12,602,772.5,1165.5,93,802,72.1,237,7,754,107.7,134,75,"Back Injury, Shoulder Injury, Hamstring Injury, Calf Injury, Ankle Injury",13-11-2023,795,0.7,0,1,0,0,2.07,147,0,0.293,46963,0.235,0.428,0.337,12.65,936538,72.3,1,2.36,9508,1707,3755,30.77,34.44,24.06,2,Declining,0.37037037,0.287581699,302,0.65795207,101.619883,130.6541353,0.1,19.18,3.47,67.97385621,13.4625,31.7906113,0,Experienced,0,0.211839,39.87078906,0.3257,20.100164,46.40217124,96.06726921,146.0565667,30-33
PL0009,Mohamed Salah,Egypt,RW,Liverpool,32,04-03-1994,Left,15-01-2029,3,408,20054,238,90,1199,497,54.11,221,367,7.89,10,30,3,40.8,49.2,85.12,602,772.5,1165.5,93,802,72.1,237,25,2142,85.7,180,13,"Back Injury, Meniscus Tear, Knee Injury, Shoulder Injury, Achilles Injury, Fracture, Calf Injury, Groin Strain, Concussion, Ligament Damage, Ankle Injury, Muscle Injury, ACL Injury",06-10-2023,833,2.5,1,0,1,1,5.87,523,0,0.645,44560,0.547,0.31,0.143,6.91,539284,0.2,0,1.25,3898,3507,18704,33.72,44.32,83.28,6,Declining,0.583333333,0.220588235,328,0.803921569,83.90794979,220.3736264,4,18.16,10,0,3.296153846,104.5153799,0,Experienced,0,0.00129,47.70993078,0.5726,0,36.3372,89.73349616,104.6578341,30-33
PL0010,Vinícius Jr,Brazil,LW,Real Madrid,24,22-07-2002,Right,16-01-2028,2,327,35562,222,43,1264,717,54.76,423,297,6.68,6,21,1,54.5,108.8,85.12,602,772.5,1165.5,93,802,72.1,237,13,1432,110.2,177,8,"Back Injury, Shoulder Injury, Hamstring Injury, Calf Injury, Achilles Injury, Groin Strain, Concussion, Knee Injury, Muscle Injury, Hip Injury",19-01-2025,362,1.3,1,1,0,0,3.92,355,0,0.256,62695,0.345,0.42,0.235,5.32,708704,13,1,4.74,545,154,10136,56.35,69.47,148.53,4,Rising,0.678899083,0.131498471,265,0.810397554,159.470852,808.2272727,6.9,12.54,6.52,0,7.871428571,116.4381506,0,Prime,23.28305235,0.03328,15.0438404,0.3693,26.3319,29.9666,44.50906061,52.25213601,22-25
